OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/01/31 00:00:00','XG19574175',0,'PayType','','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'InvPayType','1','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'InvAmt','80','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'BottomLine1','現金80','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'BottomLine2','收:80, 找零:0','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'Random','2872','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',1,'','豆漿(員工價):2:40: :80','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'InvPreTaxAmt','80','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574175',0,'NTAmt','0','','002','002','2026/01/30 15:30:16'
'2026/01/31 00:00:00','XG19574176',0,'PayType','','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'InvPayType','1','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'InvAmt','112','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'BottomLine1','現金112','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'BottomLine2','收:112, 找零:0','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'Random','9354','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',1,'','奶油手工餅乾(員工價):1:56: :56','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',2,'','巧克力手工餅乾(員工價):1:56: :56','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'InvPreTaxAmt','112','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574176',0,'NTAmt','0','','002','002','2026/01/30 15:40:34'
'2026/01/31 00:00:00','XG19574177',0,'PayType','','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'InvPayType','1','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'InvAmt','120','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'BottomLine1','現金120','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'BottomLine2','收:120, 找零:0','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'Random','2090','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',1,'','便當:1:120: :120','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'InvPreTaxAmt','120','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574177',0,'NTAmt','0','','002','002','2026/01/31 09:58:12'
'2026/01/31 00:00:00','XG19574178',0,'PayType','','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'InvPayType','1','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'InvAmt','120','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'BottomLine1','現金120','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'BottomLine2','收:120 找零:0','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'Random','2359','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',1,'','便當:1:120: :120','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'InvPreTaxAmt','120','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574178',0,'NTAmt','0','','002','002','2026/01/31 09:58:57'
'2026/01/31 00:00:00','XG19574179',0,'PayType','','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'InvPayType','1','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'InvAmt','120','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'BottomLine1','現金120','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'BottomLine2','收:120 找零:0','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'Random','6007','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',1,'','便當:1:120: :120','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'InvPreTaxAmt','120','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574179',0,'NTAmt','0','','002','002','2026/01/31 09:59:10'
'2026/01/31 00:00:00','XG19574180',0,'PayType','','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'InvPayType','1','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'InvAmt','2180','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'BottomLine1','現金2180','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'BottomLine2','收:2,180, 找零:0','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'Random','6481','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',1,'','精緻自助餐(大人):8:250: :2000','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',2,'','精緻自助餐(小孩):1:180: :180','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'InvPreTaxAmt','2180','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574180',0,'NTAmt','0','','002','002','2026/01/31 11:58:15'
'2026/01/31 00:00:00','XG19574181',0,'PayType','','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'InvPayType','1','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'InvAmt','500','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'BottomLine1','現金500','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'BottomLine2','收:500, 找零:0','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'Random','5371','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'InvPreTaxAmt','500','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574181',0,'NTAmt','0','','002','002','2026/01/31 11:58:57'
'2026/01/31 00:00:00','XG19574182',0,'CarrierCode','/LWX2BW4','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'CarrierType','0','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'PayType','','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'InvPayType','1','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'InvAmt','500','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'BottomLine1','現金500','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'BottomLine2','收:500, 找零:0','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'Random','3755','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'InvPreTaxAmt','500','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574182',0,'NTAmt','0','','002','002','2026/01/31 11:59:48'
'2026/01/31 00:00:00','XG19574183',0,'PayType','','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'InvPayType','1','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'InvAmt','500','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'BottomLine1','現金500','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'BottomLine2','收:500, 找零:0','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'Random','0999','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',1,'','員工包2月餐:1:500: :500','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'InvPreTaxAmt','500','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574183',0,'NTAmt','0','','002','002','2026/01/31 12:00:47'
'2026/01/31 00:00:00','XG19574184',0,'CarrierCode','/J762H9H','','002','002','2026/01/31 12:04:15'
'2026/01/31 00:00:00','XG19574184',0,'CarrierType','0','','002','002','2026/01/31 12:04:15'
'2026/01/31 00:00:00','XG19574184',0,'PayType','8','','002','002','2026/01/31 12:04:15'
'2026/01/31 00:00:00','XG19574184',0,'InvPayType','5','','002','002','2026/01/31 12:04:15'
'2026/01/31 00:00:00','XG19574184',0,'InvAmt','500','','002','002','2026/01/31 12:04:15'
