OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/03/10 00:00:00','ZJ79088031',0,'PayType','','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'InvPayType','1','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'InvAmt','2800','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'BottomLine1','瞷2800','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'BottomLine2','Μ:2,800, т箂:0','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'Random','6090','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',1,'','Θ痁(基):1:800: :800','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',2,'','Θ痁(基):1:2000: :2000','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'InvPreTaxAmt','2800','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088031',0,'NTAmt','0','','002','002','2026/03/10 09:30:50'
'2026/03/10 00:00:00','ZJ79088032',0,'CarrierCode','/KTGCV5F','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'CarrierType','0','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'PayType','','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'InvPayType','1','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'InvAmt','250','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'BottomLine1','瞷250','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'BottomLine2','Μ:250, т箂:0','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'Random','1509','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',1,'','弘給繺():1:250: :250','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'InvPreTaxAmt','250','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088032',0,'NTAmt','0','','002','002','2026/03/10 11:07:22'
'2026/03/10 00:00:00','ZJ79088033',0,'PayType','','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'InvPayType','1','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'InvAmt','80','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'BottomLine1','瞷80','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'BottomLine2','Μ:80, т箂:0','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'Random','8805','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',1,'','ě歼(基):2:40: :80','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'InvPreTaxAmt','80','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088033',0,'NTAmt','0','','002','002','2026/03/10 11:43:45'
'2026/03/10 00:00:00','ZJ79088034',0,'CarrierCode','/LEJ6CZB','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'CarrierType','0','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'PayType','','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'InvPayType','1','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'InvAmt','500','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'BottomLine1','瞷500','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'BottomLine2','Μ:500, т箂:0','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'Random','5752','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',1,'','弘給繺():2:250: :500','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'InvPreTaxAmt','500','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088034',0,'NTAmt','0','','002','002','2026/03/10 11:49:17'
'2026/03/10 00:00:00','ZJ79088035',0,'PayType','','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'InvPayType','1','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'InvAmt','520','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'BottomLine1','瞷520','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'BottomLine2','Μ:520, т箂:0','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'Random','6943','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',1,'','弘給繺()(基):1:200: :200','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',2,'','200じ难(基):2:160: :320','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'InvPreTaxAmt','520','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088035',0,'NTAmt','0','','002','002','2026/03/10 12:07:15'
'2026/03/10 00:00:00','ZJ79088036',0,'PayType','','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'InvPayType','1','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'InvAmt','50','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'BottomLine1','瞷50','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'BottomLine2','Μ:50, т箂:0','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'Random','5933','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',1,'','ě歼:1:50: :50','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'InvPreTaxAmt','50','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088036',0,'NTAmt','0','','002','002','2026/03/10 12:16:38'
'2026/03/10 00:00:00','ZJ79088037',0,'BNO','47927500','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'PayType','','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'InvPayType','1','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'InvAmt','500','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'BottomLine1','瞷500','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'BottomLine2','Μ:500, т箂:0','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'Random','8963','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',1,'','弘給繺():2:238.0952: :500','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'InvPreTaxAmt','476','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088037',0,'NTAmt','0','','002','002','2026/03/10 13:23:17'
'2026/03/10 00:00:00','ZJ79088038',0,'PayType','','','002','002','2026/03/10 13:47:54'
