OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/05/01 00:00:00','BM92175850',0,'CarrierCode','/7XBMY4K','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'CarrierType','0','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'PayType','','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'InvPayType','1','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'InvAmt','500','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'BottomLine1','現金500','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'BottomLine2','收:500, 找零:0','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'Random','0471','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'InvPreTaxAmt','500','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175850',0,'NTAmt','0','','002','002','2026/05/01 11:30:50'
'2026/05/01 00:00:00','BM92175851',0,'PayType','','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'InvPayType','1','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'InvAmt','200','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'BottomLine1','現金200','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'BottomLine2','收:200, 找零:0','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'Random','2824','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',1,'','豆腐(員工價):1:40: :40','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',2,'','豆漿(員工價):4:40: :160','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'InvPreTaxAmt','200','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175851',0,'NTAmt','0','','002','002','2026/05/01 11:32:40'
'2026/05/01 00:00:00','BM92175852',0,'CarrierCode','/7XBMY4K','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'CarrierType','0','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'PayType','','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'InvPayType','1','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'InvAmt','1050','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'BottomLine1','現金1050','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'BottomLine2','收:1,050, 找零:0','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'Random','7185','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',1,'','十字麵包:2:250: :500','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',2,'','黑芝麻醬-3入:1:550: :550','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'InvPreTaxAmt','1050','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175852',0,'NTAmt','0','','002','002','2026/05/01 12:03:24'
'2026/05/01 00:00:00','BM92175853',0,'CarrierCode','/9799PPY','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'CarrierType','0','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'PayType','1','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'InvPayType','3','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'InvAmt','1260','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'BottomLine1','信用卡1260','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'Random','9384','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',1,'','精緻自助餐(大人):4:250: :1000','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',2,'','奶油手工餅乾:2:70: :140','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',3,'','巧核餅乾:1:120: :120','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'InvPreTaxAmt','1260','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175853',0,'NTAmt','0','','002','002','2026/05/01 12:13:25'
'2026/05/01 00:00:00','BM92175854',0,'CarrierCode','/7SOCIER','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'CarrierType','0','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'PayType','','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'InvPayType','1','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'InvAmt','500','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'BottomLine1','現金500','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'BottomLine2','收:500, 找零:0','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'Random','7407','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'InvPreTaxAmt','500','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175854',0,'NTAmt','0','','002','002','2026/05/01 12:21:59'
'2026/05/01 00:00:00','BM92175855',0,'CarrierCode','/7SAN527','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'CarrierType','0','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'PayType','1','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'InvPayType','3','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'InvAmt','1250','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'BottomLine1','信用卡1250','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'Random','3190','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',1,'','精緻自助餐(大人):5:250: :1250','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'InvPreTaxAmt','1250','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175855',0,'NTAmt','0','','002','002','2026/05/01 12:45:51'
'2026/05/01 00:00:00','BM92175856',0,'PayType','','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'InvPayType','1','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'InvAmt','4950','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'BottomLine1','現金4950','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'BottomLine2','收:4,950, 找零:0','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'Random','9973','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',1,'','精緻自助餐(大人)(九折):22:225: :4950','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'InvPreTaxAmt','4950','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175856',0,'NTAmt','0','','002','002','2026/05/01 13:01:45'
'2026/05/01 00:00:00','BM92175857',0,'CarrierCode','/E91O2O2','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'CarrierType','0','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'PayType','','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'InvPayType','1','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'InvAmt','1000','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'BottomLine1','現金1000','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'BottomLine2','收:1,000, 找零:0','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'Random','5028','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',1,'','精緻自助餐(大人):4:250: :1000','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'InvPreTaxAmt','1000','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175857',0,'NTAmt','0','','002','002','2026/05/01 13:06:03'
'2026/05/01 00:00:00','BM92175858',0,'CarrierCode','/L2GBRL4','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'CarrierType','0','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'PayType','','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'InvPayType','1','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'InvAmt','550','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'BottomLine1','現金550','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'BottomLine2','收:550, 找零:0','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'Random','9638','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',1,'','150元麵包:1:150: :150','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',2,'','鹹檸檬醬:1:400: :400','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'InvPreTaxAmt','550','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175858',0,'NTAmt','0','','002','002','2026/05/01 13:41:47'
'2026/05/01 00:00:00','BM92175859',0,'CarrierCode','/GVY265Z','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'CarrierType','0','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'PayType','','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'InvPayType','1','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'InvAmt','150','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'BottomLine1','現金150','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'BottomLine2','收:150, 找零:0','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'Random','2471','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',1,'','150元麵包:1:150: :150','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'InvPreTaxAmt','150','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175859',0,'NTAmt','0','','002','002','2026/05/01 13:43:05'
'2026/05/01 00:00:00','BM92175860',0,'PayType','','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'InvPayType','1','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'InvAmt','70','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'BottomLine1','現金70','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'BottomLine2','收:70, 找零:0','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'Random','6487','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',1,'','巧克力手工餅乾:1:70: :70','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'InvPreTaxAmt','70','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175860',0,'NTAmt','0','','002','002','2026/05/01 13:48:08'
'2026/05/01 00:00:00','BM92175861',0,'CarrierCode','/PHYJT85','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'CarrierType','0','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'PayType','8','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'InvPayType','5','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'InvAmt','400','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'BottomLine1','電子支付400','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'Random','3869','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',1,'','鹹檸檬醬:1:400: :400','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'InvPreTaxAmt','400','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175861',0,'NTAmt','0','','002','002','2026/05/01 13:49:44'
'2026/05/01 00:00:00','BM92175862',0,'PayType','','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'InvPayType','1','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'InvAmt','1100','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'BottomLine1','現金1100','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'BottomLine2','收:1,100, 找零:0','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'Random','2256','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',1,'','其他收入(活動費用):22:50: :1100','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'InvPreTaxAmt','1100','','002','002','2026/05/01 13:52:32'
'2026/05/01 00:00:00','BM92175862',0,'NTAmt','0','','002','002','2026/05/01 13:52:32'
