OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/02/12 00:00:00','XG19574286',0,'CarrierCode','/99HJ54M','','002','002','2026/02/12 11:27:00'
'2026/02/12 00:00:00','XG19574286',0,'CarrierType','0','','002','002','2026/02/12 11:27:00'
'2026/02/12 00:00:00','XG19574286',0,'PayType','','','002','002','2026/02/12 11:27:00'
'2026/02/12 00:00:00','XG19574286',0,'InvPayType','1','','002','002','2026/02/12 11:27:00'
'2026/02/12 00:00:00','XG19574286',0,'InvAmt','675','','002','002','2026/02/12 11:27:00'
'2026/02/12 00:00:00','XG19574286',0,'BottomLine1','現金675','','002','002','2026/02/12 11:27:00'
'2026/02/12 00:00:00','XG19574286',0,'BottomLine2','收:1,000, 找零:325','','002','002','2026/02/12 11:27:01'
'2026/02/12 00:00:00','XG19574286',0,'Random','7371','','002','002','2026/02/12 11:27:01'
'2026/02/12 00:00:00','XG19574286',1,'','精緻自助餐(大人)(九折):3:225: :675','','002','002','2026/02/12 11:27:01'
'2026/02/12 00:00:00','XG19574286',0,'InvPreTaxAmt','675','','002','002','2026/02/12 11:27:01'
'2026/02/12 00:00:00','XG19574286',0,'NTAmt','0','','002','002','2026/02/12 11:27:01'
'2026/02/12 00:00:00','XG19574287',0,'PayType','','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'InvPayType','1','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'InvAmt','120','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'BottomLine1','現金120','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'BottomLine2','收:120, 找零:0','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'Random','2017','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',1,'','便當:1:120: :120','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'InvPreTaxAmt','120','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574287',0,'NTAmt','0','','002','002','2026/02/12 11:29:49'
'2026/02/12 00:00:00','XG19574288',0,'PayType','','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'InvPayType','1','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'InvAmt','120','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'BottomLine1','現金120','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'BottomLine2','收:120, 找零:0','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'Random','9733','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',1,'','便當:1:120: :120','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'InvPreTaxAmt','120','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574288',0,'NTAmt','0','','002','002','2026/02/12 11:29:59'
'2026/02/12 00:00:00','XG19574289',0,'PayType','','','002','002','2026/02/12 11:59:52'
'2026/02/12 00:00:00','XG19574289',0,'InvPayType','1','','002','002','2026/02/12 11:59:52'
'2026/02/12 00:00:00','XG19574289',0,'InvAmt','120','','002','002','2026/02/12 11:59:52'
'2026/02/12 00:00:00','XG19574289',0,'BottomLine1','現金120','','002','002','2026/02/12 11:59:52'
