OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/06/03 00:00:00','BM92176215',0,'CarrierCode','/JLL6AMZ','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'CarrierType','0','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'PayType','8','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'InvPayType','5','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'InvAmt','80','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'BottomLine1','電子支付80','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'Random','7482','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',1,'','裸麥蔓越莓:1:80: :80','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'InvPreTaxAmt','80','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176215',0,'NTAmt','0','','002','002','2026/06/03 09:13:46'
'2026/06/03 00:00:00','BM92176216',0,'PayType','','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'InvPayType','1','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'InvAmt','300','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'BottomLine1','現金300','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'BottomLine2','收:300, 找零:0','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'Random','1064','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',1,'','豆漿:6:50: :300','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'InvPreTaxAmt','300','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176216',0,'NTAmt','0','','002','002','2026/06/03 09:20:09'
'2026/06/03 00:00:00','BM92176217',0,'PayType','','','002','002','2026/06/03 09:20:25'
'2026/06/03 00:00:00','BM92176217',0,'InvPayType','1','','002','002','2026/06/03 09:20:25'
'2026/06/03 00:00:00','BM92176217',0,'InvAmt','100','','002','002','2026/06/03 09:20:25'
'2026/06/03 00:00:00','BM92176217',0,'BottomLine1','現金100','','002','002','2026/06/03 09:20:25'
