OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/06/15 00:00:00','BM92176325',0,'PayType','3','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',0,'InvPayType','5','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',0,'InvAmt','7750','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',0,'BottomLine1','宅配匯款7750','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',0,'Random','5072','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',1,'','阿粨(葷):95:80: :7600','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',2,'','宅配費(時價):1:150: :150','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',0,'InvPreTaxAmt','7750','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176325',0,'NTAmt','0','','002','002','2026/06/15 10:29:19'
'2026/06/15 00:00:00','BM92176326',0,'PayType','','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'InvPayType','1','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'InvAmt','16','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'BottomLine1','現金16','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'BottomLine2','收:500, 找零:484','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'Random','4143','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',1,'','120元餅乾(員工價):1:96: :96','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',2,'','黑芝麻醬-3入(員工價):1:480: :480','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',3,'','鹹檸檬醬(員工價):2:320: :640','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',4,'','應稅折扣:1:-1200::-1200','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'InvPreTaxAmt','16','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176326',0,'NTAmt','0','','002','002','2026/06/15 11:03:51'
'2026/06/15 00:00:00','BM92176327',0,'PayType','3','','002','002','2026/06/15 11:25:25'
'2026/06/15 00:00:00','BM92176327',0,'InvPayType','5','','002','002','2026/06/15 11:25:25'
