OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/01/15 00:00:00','XG19574003',0,'PayType','','','002','002','2026/01/15 11:57:16'
'2026/01/15 00:00:00','XG19574003',0,'InvPayType','1','','002','002','2026/01/15 11:57:16'
'2026/01/15 00:00:00','XG19574003',0,'InvAmt','270','','002','002','2026/01/15 11:57:16'
'2026/01/15 00:00:00','XG19574003',0,'BottomLine1','瞷270','','002','002','2026/01/15 11:57:17'
'2026/01/15 00:00:00','XG19574003',0,'BottomLine2','Μ:270, т箂:0','','002','002','2026/01/15 11:57:17'
'2026/01/15 00:00:00','XG19574003',0,'Random','3773','','002','002','2026/01/15 11:57:17'
'2026/01/15 00:00:00','XG19574003',1,'','150じ难(ч):2:135: :270','','002','002','2026/01/15 11:57:17'
'2026/01/15 00:00:00','XG19574003',0,'InvPreTaxAmt','270','','002','002','2026/01/15 11:57:17'
'2026/01/15 00:00:00','XG19574003',0,'NTAmt','0','','002','002','2026/01/15 11:57:17'
'2026/01/15 00:00:00','XG19574004',0,'CarrierCode','/F6FZL54','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'CarrierType','0','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'PayType','','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'InvPayType','1','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'InvAmt','500','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'BottomLine1','瞷500','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'BottomLine2','Μ:500, т箂:0','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'Random','3485','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',1,'','弘給繺():2:250: :500','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'InvPreTaxAmt','500','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574004',0,'NTAmt','0','','002','002','2026/01/15 12:26:16'
'2026/01/15 00:00:00','XG19574005',0,'PayType','','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'InvPayType','1','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'InvAmt','500','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'BottomLine1','瞷500','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'BottomLine2','Μ:500, т箂:0','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'Random','0488','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',1,'','弘給繺():2:250: :500','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'InvPreTaxAmt','500','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574005',0,'NTAmt','0','','002','002','2026/01/15 12:26:40'
'2026/01/15 00:00:00','XG19574006',0,'PayType','','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'InvPayType','1','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'InvAmt','80','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'BottomLine1','瞷80','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'BottomLine2','Μ:80, т箂:0','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'Random','9904','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',1,'','150じ难(基):1:120: :120','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',2,'','200じ难(基):1:160: :160','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',3,'','莱祙чΙ:1:-200::-200','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'InvPreTaxAmt','80','','002','002','2026/01/15 13:50:47'
'2026/01/15 00:00:00','XG19574006',0,'NTAmt','0','','002','002','2026/01/15 13:50:47'
