OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/02/10 00:00:00','XG19574259',0,'PayType','','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'InvPayType','1','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'InvAmt','100','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'BottomLine1','現金100','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'BottomLine2','收:100, 找零:0','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'Random','3520','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',1,'','食材:1:100: :100','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'InvPreTaxAmt','100','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574259',0,'NTAmt','0','','002','002','2026/02/10 08:41:34'
'2026/02/10 00:00:00','XG19574260',0,'PayType','','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'InvPayType','1','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'InvAmt','250','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'BottomLine1','現金250','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'BottomLine2','收:500, 找零:250','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'Random','2722','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',1,'','精緻自助餐(大人):1:250: :250','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'InvPreTaxAmt','250','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574260',0,'NTAmt','0','','002','002','2026/02/10 11:17:59'
'2026/02/10 00:00:00','XG19574261',0,'PayType','','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'InvPayType','1','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'InvAmt','3000','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'BottomLine1','現金3000','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'BottomLine2','收:3,000, 找零:0','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'Random','3799','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',1,'','香蕉(6吋):5:600: :3000','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'InvPreTaxAmt','3000','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574261',0,'NTAmt','0','','002','002','2026/02/10 11:19:48'
'2026/02/10 00:00:00','XG19574262',0,'PayType','','','002','002','2026/02/10 11:24:43'
'2026/02/10 00:00:00','XG19574262',0,'InvPayType','1','','002','002','2026/02/10 11:24:43'
'2026/02/10 00:00:00','XG19574262',0,'InvAmt','250','','002','002','2026/02/10 11:24:43'
'2026/02/10 00:00:00','XG19574262',0,'BottomLine1','現金250','','002','002','2026/02/10 11:24:43'
'2026/02/10 00:00:00','XG19574262',0,'BottomLine2','收:500, 找零:250','','002','002','2026/02/10 11:24:43'
'2026/02/10 00:00:00','XG19574262',0,'Random','2303','','002','002','2026/02/10 11:24:43'
