OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/04/24 00:00:00','ZJ79088411',0,'CarrierCode','/8MNK3N2','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'CarrierType','0','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'PayType','','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'InvPayType','1','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'InvAmt','44','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'BottomLine1','現金44','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'BottomLine2','收:44, 找零:0','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'Random','9320','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',1,'','150元麵包(員工價):2:120: :240','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',2,'','貝果(員工價):3:64: :192','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',3,'','奶油手工餅乾(員工價):2:56: :112','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',4,'','應稅折扣:1:-500::-500','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'InvPreTaxAmt','44','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088411',0,'NTAmt','0','','002','002','2026/04/23 15:18:43'
'2026/04/24 00:00:00','ZJ79088412',0,'BNO','37654972','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'PayType','4','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'InvPayType','5','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'InvAmt','510','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'BottomLine1','機關簽帳510','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'Random','3675','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',1,'','150元麵包(60%):2:85.7143: :180','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',2,'','200元麵包(60%):1:114.2857: :120','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',3,'','麵包　　(時價):2:20: :42','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',4,'','奶油手工餅乾(60%):2:40: :84','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',5,'','巧克力手工餅乾(60%):2:40: :84','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'InvPreTaxAmt','486','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088412',0,'NTAmt','0','','002','002','2026/04/23 15:22:42'
'2026/04/24 00:00:00','ZJ79088413',0,'CarrierCode','/J-8KKFQ','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'CarrierType','0','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'PayType','','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'InvPayType','1','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'InvAmt','160','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'BottomLine1','現金160','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'BottomLine2','收:160, 找零:0','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'Random','8207','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',1,'','200元麵包(員工價):1:160: :160','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'InvPreTaxAmt','160','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088413',0,'NTAmt','0','','002','002','2026/04/24 09:30:47'
'2026/04/24 00:00:00','ZJ79088414',0,'CarrierCode','/ZJ6BEC4','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'CarrierType','0','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'PayType','','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'InvPayType','1','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'InvAmt','520','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'BottomLine1','現金520','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'BottomLine2','收:520, 找零:0','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'Random','4533','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',1,'','黑芝麻醬(員工價):1:160: :160','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',2,'','小奶油吐司:2:90: :180','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',3,'','小烏龍吐司:2:90: :180','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'InvPreTaxAmt','520','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088414',0,'NTAmt','0','','002','002','2026/04/24 09:32:17'
'2026/04/24 00:00:00','ZJ79088415',0,'CarrierCode','/J762H9H','','002','002','2026/04/24 09:38:37'
'2026/04/24 00:00:00','ZJ79088415',0,'CarrierType','0','','002','002','2026/04/24 09:38:37'
'2026/04/24 00:00:00','ZJ79088415',0,'PayType','','','002','002','2026/04/24 09:38:37'
'2026/04/24 00:00:00','ZJ79088415',0,'InvPayType','1','','002','002','2026/04/24 09:38:37'
