OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/01/09 00:00:00','XG19573888',0,'PayType','','','002','002','2026/01/09 11:40:21'
'2026/01/09 00:00:00','XG19573888',0,'InvPayType','1','','002','002','2026/01/09 11:40:21'
'2026/01/09 00:00:00','XG19573888',0,'InvAmt','48','','002','002','2026/01/09 11:40:21'
'2026/01/09 00:00:00','XG19573888',0,'BottomLine1','現金48','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',0,'BottomLine2','收:48, 找零:0','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',0,'Random','1083','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',1,'','奶油手工餅乾(員工價):1:56: :56','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',2,'','巧核餅乾(員工價):2:96: :192','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',3,'','應稅折扣:1:-200::-200','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',0,'InvPreTaxAmt','48','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573888',0,'NTAmt','0','','002','002','2026/01/09 11:40:22'
'2026/01/09 00:00:00','XG19573889',0,'PayType','','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'InvPayType','1','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'InvAmt','180','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'BottomLine1','現金180','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'BottomLine2','收:180, 找零:0','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'Random','4219','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',1,'','葡萄核桃餐包:1:100: :100','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',2,'','裸麥蔓越莓:1:80: :80','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'InvPreTaxAmt','180','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573889',0,'NTAmt','0','','002','002','2026/01/09 12:03:12'
'2026/01/09 00:00:00','XG19573890',0,'CarrierCode','/GK68ZU2','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'CarrierType','0','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'PayType','1','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'InvPayType','3','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'InvAmt','200','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'BottomLine1','信用卡200','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'Random','3408','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',1,'','精緻自助餐(大人)(員工價):1:200: :200','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'InvPreTaxAmt','200','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573890',0,'NTAmt','0','','002','002','2026/01/09 12:20:13'
'2026/01/09 00:00:00','XG19573891',0,'CarrierCode','/J762H9H','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'CarrierType','0','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'PayType','7','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'InvPayType','5','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'InvAmt','100','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'BottomLine1','其他簽帳100','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'Random','1024','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',1,'','葡萄核桃餐包:1:100: :100','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'InvPreTaxAmt','100','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573891',0,'NTAmt','0','','002','002','2026/01/09 14:40:22'
'2026/01/09 00:00:00','XG19573892',0,'CarrierCode','/J762H9H','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'CarrierType','0','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'PayType','','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'InvPayType','1','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'InvAmt','96','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'BottomLine1','現金96','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'BottomLine2','收:96, 找零:0','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'Random','7168','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',1,'','巧核餅乾(員工價):1:96: :96','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'InvPreTaxAmt','96','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573892',0,'NTAmt','0','','002','002','2026/01/09 15:02:14'
'2026/01/09 00:00:00','XG19573893',0,'CarrierCode','/J762H9H','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'CarrierType','0','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'PayType','','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'InvPayType','1','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'InvAmt','160','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'BottomLine1','現金160','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'BottomLine2','收:160, 找零:0','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'Random','4964','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',1,'','核桃乳酪餐包:1:160: :160','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'InvPreTaxAmt','160','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573893',0,'NTAmt','0','','002','002','2026/01/09 15:02:38'
'2026/01/09 00:00:00','XG19573894',0,'PayType','','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'InvPayType','1','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'InvAmt','200','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'BottomLine1','現金200','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'BottomLine2','收:200, 找零:0','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'Random','1360','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',1,'','豆漿(員工價):5:40: :200','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'InvPreTaxAmt','200','','002','002','2026/01/09 15:43:33'
'2026/01/09 00:00:00','XG19573894',0,'NTAmt','0','','002','002','2026/01/09 15:43:33'
