OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/04/20 00:00:00','ZJ79088369',0,'PayType','','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'InvPayType','1','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'InvAmt','880','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'BottomLine1','現金880','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'BottomLine2','收:1,000, 找零:120','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'Random','6380','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',1,'','精緻自助餐(大人)(員工價):2:200: :400','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',2,'','豆漿:2:50: :100','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',3,'','黑橄欖乳酪:2:90: :180','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',4,'','葡萄核桃餐包:2:100: :200','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'InvPreTaxAmt','880','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088369',0,'NTAmt','0','','002','002','2026/04/20 12:26:23'
'2026/04/20 00:00:00','ZJ79088370',0,'CarrierCode','/0LYUY3S','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'CarrierType','0','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'PayType','','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'InvPayType','1','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'InvAmt','1350','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'BottomLine1','現金1350','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'BottomLine2','收:2,000, 找零:650','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'Random','7187','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',1,'','精緻自助餐(大人):1:250: :250','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',2,'','黑芝麻醬-3入:2:550: :1100','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'InvPreTaxAmt','1350','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088370',0,'NTAmt','0','','002','002','2026/04/20 12:29:16'
'2026/04/20 00:00:00','ZJ79088371',0,'BNO','94792342','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'PayType','4','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'InvPayType','5','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'InvAmt','5040','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'BottomLine1','機關簽帳5040','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'Random','1433','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',1,'','巧克力　蛋糕(條)(員工價):18:266.6667: :5040','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'InvPreTaxAmt','4800','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088371',0,'NTAmt','0','','002','002','2026/04/20 13:18:48'
'2026/04/20 00:00:00','ZJ79088372',0,'PayType','','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'InvPayType','1','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'InvAmt','190','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'BottomLine1','現金190','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'BottomLine2','收:190, 找零:0','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'Random','1997','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',1,'','黑橄欖乳酪:1:90: :90','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',2,'','葡萄核桃餐包:1:100: :100','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'InvPreTaxAmt','190','','002','002','2026/04/20 15:16:58'
'2026/04/20 00:00:00','ZJ79088372',0,'NTAmt','0','','002','002','2026/04/20 15:16:58'
