OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/03/11 00:00:00','ZJ79088040',0,'PayType','','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'InvPayType','1','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'InvAmt','40','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'BottomLine1','現金40','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'BottomLine2','收:40, 找零:0','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'Random','0880','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',1,'','豆漿(員工價):1:40: :40','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'InvPreTaxAmt','40','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088040',0,'NTAmt','0','','002','002','2026/03/11 08:18:26'
'2026/03/11 00:00:00','ZJ79088041',0,'BNO','37654972','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'PayType','4','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'InvPayType','5','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'InvAmt','498','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'BottomLine1','機關簽帳498','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'Random','4066','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',1,'','150元麵包(60%):2:85.7143: :180','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',2,'','麵包　　(時價)(時價60%):1:142.8571: :150','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',3,'','奶油手工餅乾(60%):2:40: :84','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',4,'','巧克力手工餅乾(60%):2:40: :84','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'InvPreTaxAmt','474','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088041',0,'NTAmt','0','','002','002','2026/03/11 08:24:13'
'2026/03/11 00:00:00','ZJ79088042',0,'BNO','97300094','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'PayType','','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'InvPayType','1','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'InvAmt','1250','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'BottomLine1','現金1250','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'BottomLine2','收:1,250, 找零:0','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'Random','9574','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',1,'','精緻自助餐(大人):5:238.0952: :1250','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'InvPreTaxAmt','1190','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088042',0,'NTAmt','0','','002','002','2026/03/11 11:52:58'
'2026/03/11 00:00:00','ZJ79088043',0,'PayType','','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'InvPayType','1','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'InvAmt','150','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'BottomLine1','現金150','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'BottomLine2','收:150, 找零:0','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'Random','5067','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',1,'','便當:1:150: :150','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'InvPreTaxAmt','150','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088043',0,'NTAmt','0','','002','002','2026/03/11 12:12:16'
'2026/03/11 00:00:00','ZJ79088044',0,'BNO','42776102','','002','002','2026/03/11 13:39:14'
'2026/03/11 00:00:00','ZJ79088044',0,'PayType','1','','002','002','2026/03/11 13:39:14'
'2026/03/11 00:00:00','ZJ79088044',0,'InvPayType','3','','002','002','2026/03/11 13:39:14'
'2026/03/11 00:00:00','ZJ79088044',0,'InvAmt','21000','','002','002','2026/03/11 13:39:14'
'2026/03/11 00:00:00','ZJ79088044',0,'BottomLine1','信用卡21000','','002','002','2026/03/11 13:39:14'
'2026/03/11 00:00:00','ZJ79088044',0,'Random','9660','','002','002','2026/03/11 13:39:14'
'2026/03/11 00:00:00','ZJ79088044',1,'','精緻自助餐(大人):84:238.0952: :21000','','002','002','2026/03/11 13:39:14'
