OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/03/19 00:00:00','ZJ79088117',0,'PayType','','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'InvPayType','1','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'InvAmt','500','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'BottomLine1','現金500','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'BottomLine2','收:500, 找零:0','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'Random','7212','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'InvPreTaxAmt','500','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088117',0,'NTAmt','0','','002','002','2026/03/19 11:26:40'
'2026/03/19 00:00:00','ZJ79088118',0,'PayType','','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'InvPayType','1','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'InvAmt','120','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'BottomLine1','現金120','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'BottomLine2','收:120, 找零:0','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'Random','2938','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',1,'','便當:1:120: :120','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'InvPreTaxAmt','120','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088118',0,'NTAmt','0','','002','002','2026/03/19 11:36:18'
'2026/03/19 00:00:00','ZJ79088119',0,'PayType','','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'InvPayType','1','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'InvAmt','120','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'BottomLine1','現金120','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'BottomLine2','收:120, 找零:0','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'Random','5340','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',1,'','便當:1:120: :120','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'InvPreTaxAmt','120','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088119',0,'NTAmt','0','','002','002','2026/03/19 11:36:31'
'2026/03/19 00:00:00','ZJ79088120',0,'BNO','90545995','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'PayType','3','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'InvPayType','5','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'InvAmt','4000','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'BottomLine1','宅配匯款4000','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'Random','5739','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',1,'','場租-外:1:3809.5238: :4000','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'InvPreTaxAmt','3810','','002','002','2026/03/19 14:13:19'
'2026/03/19 00:00:00','ZJ79088120',0,'NTAmt','0','','002','002','2026/03/19 14:13:19'
