OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/04/01 00:00:00','ZJ79088231',0,'CarrierCode','/0LYUY3S','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'CarrierType','0','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'PayType','','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'InvPayType','1','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'InvAmt','500','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'BottomLine1','現金500','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'BottomLine2','收:500, 找零:0','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'Random','9095','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',1,'','精緻自助餐(大人):2:250: :500','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'InvPreTaxAmt','500','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088231',0,'NTAmt','0','','002','002','2026/04/01 11:28:13'
'2026/04/01 00:00:00','ZJ79088232',0,'PayType','','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'InvPayType','1','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'InvAmt','200','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'BottomLine1','現金200','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'BottomLine2','收:200, 找零:0','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'Random','8977','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',1,'','豆腐(員工價):1:40: :40','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',2,'','豆漿(員工價):4:40: :160','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'InvPreTaxAmt','200','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088232',0,'NTAmt','0','','002','002','2026/04/01 11:59:27'
'2026/04/01 00:00:00','ZJ79088233',0,'PayType','','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'InvPayType','1','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'InvAmt','1000','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'BottomLine1','現金1000','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'BottomLine2','收:1,000, 找零:0','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'Random','3599','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',1,'','員工包月餐:1:1000: :1000','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'InvPreTaxAmt','1000','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088233',0,'NTAmt','0','','002','002','2026/04/01 12:02:00'
'2026/04/01 00:00:00','ZJ79088234',0,'PayType','','','002','002','2026/04/01 12:03:20'
'2026/04/01 00:00:00','ZJ79088234',0,'InvPayType','1','','002','002','2026/04/01 12:03:20'
'2026/04/01 00:00:00','ZJ79088234',0,'InvAmt','800','','002','002','2026/04/01 12:03:20'
'2026/04/01 00:00:00','ZJ79088234',0,'BottomLine1','現金800','','002','002','2026/04/01 12:03:20'
'2026/04/01 00:00:00','ZJ79088234',0,'BottomLine2','收:800, 找零:0','','002','002','2026/04/01 12:03:20'
