OPDate,InvNo,ListNo,LineType,LineText,Remark,POSID,StoreID,FileDate
'2026/05/14 00:00:00','BM92175966',0,'PayType','','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'InvPayType','1','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'InvAmt','280','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'BottomLine1','瞷280','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'BottomLine2','Μ:300, т箂:20','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'Random','9628','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',1,'','ォ矹縷(兵)(基):1:280: :280','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'InvPreTaxAmt','280','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175966',0,'NTAmt','0','','002','002','2026/05/14 10:34:55'
'2026/05/14 00:00:00','BM92175967',0,'PayType','','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'InvPayType','1','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'InvAmt','400','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'BottomLine1','瞷400','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'BottomLine2','Μ:400, т箂:0','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'Random','6797','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',1,'','150じ难:1:150: :150','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',2,'','难:1:250: :250','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'InvPreTaxAmt','400','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175967',0,'NTAmt','0','','002','002','2026/05/14 11:38:52'
'2026/05/14 00:00:00','BM92175968',0,'PayType','','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'InvPayType','1','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'InvAmt','40','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'BottomLine1','瞷40','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'BottomLine2','Μ:40, т箂:0','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'Random','8536','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',1,'','陂(抚)(80%):10:64: :640','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',2,'','莱祙чΙ:1:-600::-600','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'InvPreTaxAmt','40','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175968',0,'NTAmt','0','','002','002','2026/05/14 12:08:23'
'2026/05/14 00:00:00','BM92175969',0,'PayType','','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'InvPayType','1','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'InvAmt','200','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'BottomLine1','瞷200','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'BottomLine2','Μ:500, т箂:300','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'Random','1898','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',1,'','弘給繺()(基):1:200: :200','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'InvPreTaxAmt','200','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175969',0,'NTAmt','0','','002','002','2026/05/14 12:08:55'
'2026/05/14 00:00:00','BM92175970',0,'PayType','','','002','002','2026/05/14 12:54:52'
'2026/05/14 00:00:00','BM92175970',0,'InvPayType','1','','002','002','2026/05/14 12:54:52'
'2026/05/14 00:00:00','BM92175970',0,'InvAmt','340','','002','002','2026/05/14 12:54:52'
'2026/05/14 00:00:00','BM92175970',0,'BottomLine1','瞷340','','002','002','2026/05/14 12:54:52'
'2026/05/14 00:00:00','BM92175970',0,'BottomLine2','Μ:1,000, т箂:660','','002','002','2026/05/14 12:54:52'
'2026/05/14 00:00:00','BM92175970',0,'Random','0296','','002','002','2026/05/14 12:54:52'
